date,Open,High,Low,Close,Volume,Raw_Close
2025-05-27 00:00:00+00:00,530.7927828910074,535.5221513159347,529.2754438546765,535.3448,6118091,543.34
2025-05-28 00:00:00+00:00,535.7881619576484,536.8818283725751,531.6696704131497,532.2904,4910507,540.24
2025-05-29 00:00:00+00:00,537.1281567524708,537.2562438117716,530.8124794438706,534.3398,4668939,542.32
2025-05-30 00:00:00+00:00,533.3840331512109,535.394014545186,528.2704040165387,533.788,6171491,541.76
2025-06-02 00:00:00+00:00,532.3002714668478,536.8917,529.8863229891175,536.8917,5933526,544.91
2025-06-03 00:00:00+00:00,536.5172609233576,540.7933979817518,536.0837355072993,539.9362,4993615,548.0
2025-06-04 00:00:00+00:00,540.6751134392405,541.561869889528,539.386951902456,539.5913,4543355,547.65
2025-06-05 00:00:00+00:00,541.3944011447651,542.5274788933937,535.3422880395897,537.069,6387510,545.09
2025-06-06 00:00:00+00:00,542.2023973595321,544.1926732866016,540.625842651164,542.5571,4735972,550.66
2025-06-09 00:00:00+00:00,543.1876642539683,544.5670633650794,542.1038506666667,543.1384,4516381,551.25
2025-06-10 00:00:00+00:00,543.6606059200202,546.5770497808402,542.6359094283807,546.2322,5984087,554.39
2025-06-11 00:00:00+00:00,547.237176910972,548.04018423742,542.8033941269036,544.7247,20800561,552.86
2025-06-12 00:00:00+00:00,543.4831953148932,546.8331642490315,543.022279000955,546.7839,8422943,554.95
2025-06-13 00:00:00+00:00,542.1432690854092,545.104050787215,539.3549122747235,540.6949,7100626,548.77
2025-06-16 00:00:00+00:00,543.8182427960367,547.513061817099,543.7492728409768,545.9169,7421327,554.07
2025-06-17 00:00:00+00:00,543.6703953344862,545.0202357477018,540.5618212441976,541.2663,4753344,549.35
2025-06-18 00:00:00+00:00,542.0643621440536,544.5768387389849,540.3204078016896,541.1579,4602329,549.24
2025-06-20 00:00:00+00:00,543.6014399985394,544.5867249981742,538.5764865004016,539.6603,9978477,547.72
2025-06-23 00:00:00+00:00,540.5864605645511,545.5522968953304,537.7192812545179,545.2173,9820188,553.36
2025-06-24 00:00:00+00:00,548.9811556592306,552.1833322554696,548.1830747229372,551.2079,6770036,559.44
2025-06-25 00:00:00+00:00,552.2719279711284,552.7645704530837,550.1240067498035,551.4837,16472311,559.72
2025-06-26 00:00:00+00:00,553.2572006026766,556.2426139767791,552.7054410351857,555.8485,6081444,564.15
2025-06-27 00:00:00+00:00,556.7943756997971,559.9669932251521,554.9223343028486,558.6073,6056524,566.95
2025-06-30 00:00:00+00:00,560.8752869566748,562.5060256764607,558.7750931508899,561.3991,5750571,568.03
